MACHINE           ,QUERY  ,TABLE                 ,TIME(max_threads=auto(2)),TIME (max_threads=4),TIME (max_threads=4) 1W,TIME (max_threads=4) 1W_mv,TIME 1d (max_threads=4) 1W_mv,TIME 1d (max_threads=4) 1d_mv,REMARK
r5.large (16Gb)   ,Q1     ,massive2.events7      ,timeout                  ,-                   ,-                      ,-                         ,-                            ,-                            ,
r5.2xlarge (64Gb) ,Q1     ,massive2.events7      ,12s                      ,-                   ,-                      ,-                         ,-                            ,-                            ,
r5.3xlarge (128Gb),Q1     ,massive2.events7      ,7s                       ,-                   ,-                      ,-                         ,-                            ,-                            ,
r5.xlarge (32Gb)  ,Q1     ,massive2.events7      ,24s                      ,19s                 ,17s                    ,-                         ,-                            ,-                            ,
r5.xlarge (32Gb)  ,Q1.1   ,massive2.events7      ,16s                      ,14s                 ,12s                    ,-                         ,-                            ,-                            ,WHERE user_id
r5.xlarge (32Gb)  ,Q1     ,massive_split.events_s,23s                      ,18s                 ,16s                    ,3s                        ,1s                           ,0.8s                         ,
r5.xlarge (32Gb)  ,Q1.2   ,massive_split.events_s,timeout                  ,27s                 ,23s                    ,2s                        ,0.8s                         ,0.7s                         ,events INNER JOIN meta WHERE user_id
r5.xlarge (32Gb)  ,Q1.2.1 ,massive_split.events_s,timeout                  ,timeout             ,27s                    ,4s                        ,1.6s                         ,0.8s                         ,events INNER JOIN meta WHERE ALL AND user_id
r5.xlarge (32Gb)  ,Q1.3   ,massive_split.events_s,15s                      ,13s                 ,11s                    ,2s                        ,0.7s                         ,0.6s                         ,events INNER JOIN SUBQUERY WHERE user_id
r5.xlarge (32Gb)  ,Q1.4   ,massive_split.events_s,memory                   ,memory              ,memory                 ,4s                        ,0.7s                         ,0.6s                         ,SUBQUERY WHERE user_id INNER JOIN events
r5.xlarge (32Gb)  ,Q1.5   ,massive_split.events_s,11s                      ,10s                 ,8s                     ,1s                        ,0.6s                         ,0.6s                         ,WHERE session_id IN SUBQUERY WHERE user_id
========          ,=====  ,=================     ,===========              ,============        ,==                     ,==                        ,==                           ,==                           ,==
r5.large (16Gb)   ,Q2     ,massive2.events7      ,timeout                  ,-                   ,-                      ,-                         ,-                            ,-                            ,
r5.2xlarge (64Gb) ,Q2     ,massive2.events7      ,12s                      ,-                   ,-                      ,-                         ,-                            ,-                            ,
r5.3xlarge (128Gb),Q2     ,massive2.events7      ,7s                       ,-                   ,-                      ,-                         ,-                            ,-                            ,
r5.xlarge (32Gb)  ,Q2     ,massive2.events7      ,24s                      ,20s                 ,17s                    ,-                         ,-                            ,-                            ,
r5.xlarge (32Gb)  ,Q2.1   ,massive2.events7      ,21s                      ,14s                 ,12s                    ,-                         ,-                            ,-                            ,WHERE user_id
r5.xlarge (32Gb)  ,Q2     ,massive_split.events_s,22s                      ,19s                 ,16s                    ,3s                        ,0.7s                         ,0.6s                         ,
r5.xlarge (32Gb)  ,Q2.2   ,massive_split.events_s,timeout                  ,27s                 ,23s                    ,2s                        ,0.6s                         ,0.6s                         ,events INNER JOIN meta WHERE user_id
r5.xlarge (32Gb)  ,Q2.2.1 ,massive_split.events_s,timeout                  ,timeout             ,27s                    ,4s                        ,1.3s                         ,0.7s                         ,events INNER JOIN meta WHERE ALL AND user_id
r5.xlarge (32Gb)  ,Q2.3   ,massive_split.events_s,15s                      ,13s                 ,11s                    ,2s                        ,0.6s                         ,0.6s                         ,events INNER JOIN SUBQUERY WHERE user_id
r5.xlarge (32Gb)  ,Q2.4   ,massive_split.events_s,memory                   ,memory              ,memory                 ,4s                        ,0.6s                         ,0.6s                         ,SUBQUERY WHERE user_id INNER JOIN events
